date,GS,HSR,ZZZ,ALL
2024-07-04,32,31,3,66
2024-07-05,42,43,3,88
2024-07-06,37,43,4,84
2024-07-07,39,44,4,87
2024-07-08,43,36,4,83
2024-07-09,42,28,6,76
2024-07-10,44,8,6,58
2024-07-11,44,12,7,63
2024-07-12,50,25,9,84
2024-07-13,48,39,10,97
2024-07-14,45,51,11,107
2024-07-15,40,63,16,119
2024-07-16,30,71,18,119
2024-07-17,9,78,19,106
2024-07-18,15,94,25,134
2024-07-19,25,100,26,151
2024-07-20,36,88,29,153
2024-07-21,40,92,28,160
2024-07-22,48,94,27,169
2024-07-23,58,95,26,179
2024-07-24,65,99,6,170
2024-07-25,76,110,8,194
2024-07-26,82,116,13,211
2024-07-27,84,112,24,220
2024-07-28,75,109,30,214
2024-07-29,80,104,35,219
2024-07-30,81,94,39,214
2024-07-31,83,6,44,133
2024-08-01,80,9,43,132
2024-08-02,80,17,48,145
2024-08-03,78,30,56,164
2024-08-04,74,34,55,163
2024-08-05,73,46,63,182
2024-08-06,21,54,66,141
2024-08-07,16,61,73,150
2024-08-08,24,73,86,183
2024-08-09,32,84,94,210
2024-08-10,46,86,89,221
2024-08-11,53,87,88,228
2024-08-12,56,90,89,235
2024-08-13,60,92,80,232
2024-08-14,68,90,6,164
2024-08-15,71,89,8,168
2024-08-16,61,95,15,171
2024-08-17,56,92,24,172
2024-08-18,57,91,37,185
2024-08-19,62,81,50,193
2024-08-20,61,76,58,195
2024-08-21,68,7,76,151
2024-08-22,71,9,95,175
2024-08-23,73,21,109,203
2024-08-24,69,30,116,215
2024-08-25,59,42,123,224
2024-08-26,56,49,123,228
